Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
giants,saints,at eagles,at falcons,titans,at colts,at cowboys,buccaneers,cowboys,at panthers,at redskins,jaguars,Bye,bears,at 49ers,eagles,at texans,redskins
redskins,panthers,at saints,colts,at buccaneers,falcons,at eagles,texans,at cardinals,at titans,giants,at cowboys,Bye,eagles,at jaguars,packers,cowboys,at giants
eagles,cowboys,giants,at titans,Bye,at rams,redskins,at jaguars (Lon),at saints,texans,falcons,at buccaneers,panthers,at redskins,colts,at giants,vikings,at cowboys
cowboys,at eagles,at texans,lions,at seahawks,at panthers,giants,titans,at giants,Bye,buccaneers,redskins,at falcons,jaguars,saints,at colts,at redskins,eagles
jets,at titans,dolphins,packers,at browns,bills,patriots,at lions,at dolphins,colts,at jaguars,at bills,texans,Bye,vikings,at bears,broncos,at patriots
bills,lions,titans,at ravens,jaguars,at jets,chargers,at colts,at patriots,Bye,at texans,jets,dolphins,at packers,bears,at vikings,patriots,at dolphins
dolphins,bears,at jets,at vikings,raiders,titans,at colts,at patriots,jets,jaguars,Bye,at bengals,at bills,lions,at texans,patriots,at packers,bills
patriots,texans,at jaguars,chiefs,Bye,at bears,at jets,dolphins,bills,at steelers,at lions,colts,at titans,vikings,packers,at dolphins,at bills,jets
jaguars,at colts,patriots,texans,at bills,at texans,steelers,eagles (Lon),Bye,at dolphins,jets,at giants,colts,at cowboys,redskins,at titans,at chiefs,titans
titans,jets,at bills,eagles,at giants,at dolphins,texans,at cowboys,at chargers (Lon),redskins,Bye,at texans,patriots,at colts,ravens,jaguars,colts,at jaguars
texans,at patriots,cowboys,at jaguars,colts,jaguars,at titans,at redskins,browns,at eagles,bills,titans,at jets,Bye,dolphins,at broncos,giants,at colts
colts,jaguars,at raiders,at redskins,at texans,giants,dolphins,bills,Bye,at jets,bengals,at patriots,at jaguars,titans,at eagles,cowboys,at titans,texans
panthers,at redskins,at lions,bengals,saints,cowboys,Bye,at steelers,at falcons,giants,seahawks,at browns,at eagles,ravens,buccaneers,at saints,at buccaneers,falcons
falcons,at packers,buccaneers,giants,Bye,at redskins,at browns,cardinals,panthers,ravens,at eagles,at saints,cowboys,at steelers,bengals,at buccaneers,saints,at panthers
buccaneers,at ravens,at falcons,49ers,redskins,browns,Bye,at giants,steelers,at bears,at cowboys,eagles,at bengals,saints,at panthers,falcons,panthers,at saints
saints,at giants,redskins,browns,at panthers,Bye,at vikings,rams,eagles,at bengals,at ravens,falcons,steelers,at buccaneers,at cowboys,panthers,at falcons,buccaneers
Broncos,at bengals,steelers,chargers,at 49ers,seahawks,at chiefs,at ravens,rams,at cardinals,raiders,at chargers,browns,Bye,at raiders,texans,at jets,chiefs
Chiefs,chargers,cardinals,at patriots,Bye,at raiders,broncos,at chargers,ravens,at rams (Mex),at steelers,49ers,at seahawks,bengals,at browns,raiders,jaguars,at broncos
Chargers,at chiefs,bengals,at broncos,ravens,cardinals,at bills,chiefs,titans (Lon),Bye,at browns,broncos,at rams,raiders,at steelers,49ers,at seahawks,at raiders
Raiders,at cardinals,colts,steelers,at dolphins,chiefs,seahawks (Lon),Bye,at bengals,browns,at broncos,rams,at ravens,at chargers,broncos,at chiefs,at 49ers,chargers
Lions,at bills,panthers,at cowboys,vikings,at 49ers,bears,jets,at vikings,Bye,patriots,packers,at cardinals,at dolphins,seahawks,rams,at bears,at packers
Bears,at dolphins,vikings,at cardinals,rams,patriots,at lions,at 49ers,at packers,buccaneers,packers,seahawks,Bye,at giants,at bills,jets,lions,at vikings
Packers,falcons,at seahawks,at jets,cardinals,vikings,at rams,at vikings,bears,49ers,at bears,at lions,Bye,bills,at patriots,at redskins,dolphins,lions
Vikings,at rams,at bears,dolphins,at lions,at packers,saints,packers,lions,at seahawks,Bye,cardinals,49ers,at patriots,at jets,bills,at eagles,bears
Cardinals,raiders,at chiefs,bears,at packers,at chargers,49ers,at falcons,redskins,broncos,Bye,at vikings,lions,at 49ers,at rams,seahawks,rams,at seahawks
Rams,vikings,at 49ers,seahawks,at bears,eagles,packers,at saints,at broncos,chiefs (Mex),Bye,at raiders,chargers,at seahawks,cardinals,at lions,at cardinals,49ers
Seahawks,49ers,packers,at rams,cowboys,at broncos,at raiders (Lon),Bye,at 49ers,vikings,at panthers,at bears,chiefs,rams,at lions,at cardinals,chargers,cardinals
49ers,at seahawks,rams,at buccaneers,broncos,lions,at cardinals,bears,seahawks,at packers,Bye,at chiefs,at vikings,cardinals,giants,at chargers,raiders,at rams
Ravens,buccaneers,at browns,bills,at chargers,at bengals,Bye,broncos,at chiefs,at falcons,saints,steelers,raiders,at panthers,at titans,browns,bengals,at steelers
Steelers,browns,at broncos,at raiders,bengals,Bye,at jaguars,panthers,at buccaneers,patriots,chiefs,at ravens,at saints,falcons,chargers,at bengals,at browns,ravens
Browns,at steelers,ravens,at saints,jets,at buccaneers,falcons,bengals,at texans,at raiders,chargers,panthers,at broncos,Bye,chiefs,at ravens,steelers,at bengals
Bengals,broncos,at chargers,at panthers,at steelers,ravens,Bye,at browns,raiders,saints,at colts,dolphins,buccaneers,at chiefs,at falcons,steelers,at ravens,browns
