Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
giants,bears,at colts,at cowboys,titans,at eagles,saints,cowboys,at 49ers,buccaneers,at falcons,jaguars,Bye,at redskins,at panthers,eagles,at texans,redskins
redskins,colts,at titans,at eagles,panthers,at cardinals,texans,at saints,falcons,eagles,at buccaneers,at cowboys,Bye,giants,at jaguars,packers,cowboys,at giants
eagles,cowboys,at buccaneers,redskins,Bye,giants,at rams,at jaguars (Lon),texans,at redskins,at saints,panthers,colts,at titans,falcons,at giants,vikings,at cowboys
cowboys,at eagles,at texans,giants,buccaneers,at panthers,titans,at giants,at seahawks,Bye,lions,redskins,at falcons,jaguars,saints,at colts,at redskins,eagles
jets,at browns,packers,colts,at jaguars,vikings,at lions,at dolphins,bills,at titans,texans,at bills,dolphins,Bye,patriots,at bears,broncos,at patriots
bills,jaguars,at ravens,dolphins,at packers,bears,chargers,at texans,at jets,Bye,at patriots,jets,lions,at colts,titans,at vikings,patriots,at dolphins
dolphins,titans,jaguars,at bills,at texans,at bengals,patriots,jets,at vikings,at colts,Bye,raiders,at jets,lions,bears,at patriots,at packers,bills
patriots,texans,vikings,at lions,Bye,at jaguars,at dolphins,colts,packers,at steelers,bills,chiefs,at titans,at bears,at jets,dolphins,at bills,jets
jaguars,at bills,at dolphins,steelers,jets,patriots,at colts,eagles (Lon),Bye,at texans,colts,at giants,texans,at cowboys,redskins,at titans,at chiefs,titans
titans,at dolphins,redskins,texans,at giants,at colts,at cowboys,ravens,at chargers (Lon),jets,Bye,at texans,patriots,eagles,at bills,jaguars,colts,at jaguars
texans,at patriots,cowboys,at titans,dolphins,browns,at redskins,bills,at eagles,jaguars,at jets,titans,at jaguars,Bye,colts,at broncos,giants,at colts
colts,at redskins,giants,at jets,at raiders,titans,jaguars,at patriots,Bye,dolphins,at jaguars,bengals,at eagles,bills,at texans,cowboys,at titans,texans
panthers,ravens,saints,at falcons,at redskins,cowboys,Bye,at lions,bengals,at browns,seahawks,at eagles,at steelers,buccaneers,giants,at saints,at buccaneers,falcons
falcons,at packers,bengals,panthers,Bye,at buccaneers,at browns,cardinals,at redskins,ravens,giants,at steelers,cowboys,at saints,at eagles,buccaneers,saints,at panthers
buccaneers,at bengals,eagles,saints,at cowboys,falcons,Bye,at bears,steelers,at giants,redskins,at ravens,49ers,at panthers,browns,at falcons,panthers,at saints
saints,steelers,at panthers,at buccaneers,rams,Bye,at giants,redskins,browns,at bengals,eagles,at vikings,at ravens,falcons,at cowboys,panthers,at falcons,buccaneers
Broncos,rams,at 49ers,chargers,at ravens,raiders,at cardinals,steelers,at chiefs,at raiders,browns,seahawks,at chargers,Bye,at bengals,texans,at jets,chiefs
Chiefs,at raiders,cardinals,49ers,Bye,at seahawks,at steelers,at browns,broncos,at rams (Mex),chargers,at patriots,bengals,ravens,at chargers,raiders,jaguars,at broncos
Chargers,49ers,raiders,at broncos,at steelers,ravens,at bills,bengals,titans (Lon),Bye,at chiefs,at browns,broncos,at rams,chiefs,cardinals,at seahawks,at raiders
Raiders,chiefs,at chargers,at bengals,colts,at broncos,seahawks (Lon),Bye,at ravens,broncos,steelers,at dolphins,browns,at cardinals,rams,at chiefs,at 49ers,chargers
Lions,at cardinals,bears,patriots,at vikings,at 49ers,jets,panthers,rams,Bye,at cowboys,packers,at bills,at dolphins,vikings,seahawks,at bears,at packers
Bears,at giants,at lions,rams,seahawks,at bills,packers,buccaneers,at cardinals,vikings,at packers,at 49ers,Bye,patriots,at dolphins,jets,lions,at vikings
Packers,falcons,at jets,at vikings,bills,at rams,at bears,49ers,at patriots,cardinals,bears,at lions,Bye,vikings,at seahawks,at redskins,dolphins,lions
Vikings,at seahawks,at patriots,packers,lions,at jets,49ers,at rams,dolphins,at bears,Bye,saints,cardinals,at packers,at lions,bills,at eagles,bears
Cardinals,lions,at chiefs,seahawks,at 49ers,redskins,broncos,at falcons,bears,at packers,Bye,at rams,at vikings,raiders,49ers,at chargers,rams,at seahawks
Rams,at broncos,seahawks,at bears,at saints,packers,eagles,vikings,at lions,chiefs (Mex),Bye,cardinals,at seahawks,chargers,at raiders,at 49ers,at cardinals,49ers
Seahawks,vikings,at rams,at cardinals,at bears,chiefs,at raiders (Lon),Bye,cowboys,49ers,at panthers,at broncos,rams,at 49ers,packers,at lions,chargers,cardinals
49ers,at chargers,broncos,at chiefs,cardinals,lions,at vikings,at packers,giants,at seahawks,Bye,bears,at buccaneers,seahawks,at cardinals,rams,raiders,at rams
Ravens,at panthers,bills,browns,broncos,at chargers,Bye,at titans,raiders,at falcons,at bengals,buccaneers,saints,at chiefs,steelers,at browns,bengals,at steelers
Steelers,at saints,browns,at jaguars,chargers,Bye,chiefs,at broncos,at buccaneers,patriots,at raiders,falcons,panthers,at bengals,at ravens,bengals,at browns,ravens
Browns,jets,at steelers,at ravens,bengals,at texans,falcons,chiefs,at saints,panthers,at broncos,chargers,at raiders,Bye,at buccaneers,ravens,steelers,at bengals
Bengals,buccaneers,at falcons,raiders,at browns,dolphins,Bye,at chargers,at panthers,saints,ravens,at colts,at chiefs,steelers,broncos,at steelers,at ravens,browns
